Date,Revenue,Expenses,Profit,Employee_Count,Customer_Count,Inventory_Level,Marketing_Spend,Operational_Cost
2007-10-01,44774.62,29352.51,17013.91,162.05,1125.24,20325.18,4906.0,10867.49
2007-11-01,44544.3,29596.37,17031.23,162.19,1119.74,20330.82,4980.63,10809.53
2007-12-01,45072.86,29785.25,17000.09,161.5,1113.02,20329.0,4967.08,10827.14
2008-01-01,45244.67,29536.56,17233.65,160.85,1112.76,20546.18,4966.01,11020.61
2008-02-01,44363.15,29368.5,17284.53,160.39,1124.49,20641.12,4928.65,11128.23
2008-03-01,44525.19,29592.69,17352.05,160.72,1129.93,20636.11,4807.44,11096.01
2008-04-01,44332.65,29775.8,17269.68,160.0,1126.22,20799.66,4851.64,10989.06
2008-05-01,43994.19,29769.53,17172.16,161.88,1133.94,21077.7,4888.48,10730.84
2008-06-01,44300.03,29804.73,17085.64,160.54,1105.45,21189.27,4874.41,10644.55
2008-07-01,44815.53,30188.03,17164.53,160.26,1116.94,21191.34,4877.76,10619.21
2008-08-01,45281.17,30010.56,17080.34,159.6,1099.54,20928.97,4903.56,10500.75
2008-09-01,44861.56,30174.69,17138.29,161.77,1095.92,20715.95,4825.43,10485.0
2008-10-01,44706.96,30114.03,17553.37,162.07,1084.72,20654.9,4798.98,10494.22
2008-11-01,44872.59,30048.72,17727.6,163.62,1071.78,20533.0,4838.69,10467.24
2008-12-01,45360.36,30378.36,17662.39,161.39,1083.38,20495.61,4775.98,10389.24
2009-01-01,45120.77,30625.98,17902.64,161.79,1078.71,20506.94,4790.66,10409.48
2009-02-01,45027.94,30870.03,17821.02,163.12,1082.17,20612.87,4722.83,10462.51
2009-03-01,44474.78,31261.68,17413.4,163.25,1081.7,20598.77,4746.15,10331.66
2009-04-01,43876.67,31267.98,17211.78,164.84,1086.47,20696.07,4744.37,10500.97
2009-05-01,44282.94,31472.56,16837.62,164.07,1087.24,20708.97,4663.61,10489.14
2009-06-01,44961.06,31379.48,16767.32,166.18,1074.41,20313.88,4721.85,10491.4
2009-07-01,44925.05,31476.73,16771.0,169.63,1084.37,20126.01,4685.12,10576.39
2009-08-01,45426.82,31437.69,17106.29,169.09,1079.44,20097.19,4644.61,10604.38
2009-09-01,45607.63,31466.79,17171.67,168.42,1063.87,19855.25,4654.63,10718.75
2009-10-01,45285.07,31645.34,17127.85,170.6,1059.59,19975.24,4712.07,10753.21
2009-11-01,45465.77,31399.87,17293.73,172.97,1074.6,20281.39,4661.27,10679.71
2009-12-01,46234.79,32027.59,16851.51,172.18,1083.1,20525.14,4664.36,10723.09
2010-01-01,46216.88,31725.78,16898.63,171.55,1079.61,20482.45,4685.8,10585.85
2010-02-01,46999.2,31361.53,17052.8,171.13,1076.12,20780.6,4720.45,10598.87
2010-03-01,45689.33,31708.96,16757.09,169.11,1072.9,20810.33,4729.28,10594.89
2010-04-01,46100.28,31946.46,16985.84,167.74,1093.67,20742.91,4710.93,10569.91
2010-05-01,46143.8,32133.69,17053.54,166.23,1097.49,20620.23,4669.55,10554.49
2010-06-01,45994.3,32322.2,16970.48,165.08,1101.79,20559.74,4673.85,10328.67
2010-07-01,46040.18,32318.52,17097.04,165.03,1112.09,20482.1,4620.25,10262.82
2010-08-01,45046.39,32049.35,17551.17,165.38,1114.48,20516.19,4474.18,10273.96
2010-09-01,44936.56,32072.09,17587.55,167.7,1111.89,20548.3,4496.01,10293.14
2010-10-01,45115.11,31868.94,17637.19,166.2,1109.93,20548.91,4541.2,10169.82
2010-11-01,45854.06,32161.48,17545.32,167.68,1109.21,20636.3,4423.06,10321.71
2010-12-01,45594.93,32117.36,17375.35,167.36,1108.84,20874.43,4372.57,10217.77
2011-01-01,45190.68,31869.71,17541.42,167.29,1116.12,21064.34,4403.53,10334.1
2011-02-01,44939.8,31773.29,17370.2,168.3,1116.64,20767.36,4506.4,10385.36
2011-03-01,45397.5,31897.17,17384.51,166.61,1123.96,20256.58,4507.44,10307.82
2011-04-01,45561.88,31728.06,17288.98,167.19,1123.15,20443.44,4471.04,10520.85
2011-05-01,45297.0,31481.39,17384.78,167.44,1123.94,20170.06,4461.9,10377.62
2011-06-01,45553.63,31554.5,17451.51,168.18,1103.96,20125.11,4530.64,10487.92
2011-07-01,45602.17,31627.99,17659.02,168.61,1113.12,19891.09,4498.34,10607.99
2011-08-01,46086.49,31475.9,17557.02,172.29,1116.59,19530.69,4458.38,10527.51
2011-09-01,45735.47,31334.59,17503.04,171.34,1126.57,19638.98,4434.25,10694.61
2011-10-01,45571.63,31404.21,17307.29,170.54,1097.6,19790.82,4386.58,10664.6
2011-11-01,45375.58,30969.78,17218.43,169.61,1118.49,19675.51,4392.71,10699.25
2011-12-01,44643.82,30547.54,17293.89,168.77,1117.09,19157.3,4473.95,10730.48
2012-01-01,44791.88,30332.01,17445.29,167.82,1128.17,19048.06,4490.1,10714.37
2012-02-01,44922.41,30267.97,17260.85,169.6,1117.78,19126.42,4477.48,10811.66
2012-03-01,44924.97,30361.25,17434.77,171.73,1123.9,18830.63,4462.89,10906.88
2012-04-01,44807.67,30803.85,17705.9,170.87,1113.37,18867.31,4384.73,10697.06
2012-05-01,44099.99,31061.15,17788.59,169.63,1107.13,18864.24,4428.89,10853.58
2012-06-01,43889.67,31013.17,18163.95,170.33,1126.27,18980.1,4425.0,10654.08
2012-07-01,43718.31,31007.47,18009.19,169.5,1124.36,19004.02,4415.97,10777.99
2012-08-01,43317.17,30706.71,17760.26,170.45,1126.54,18809.4,4575.63,10913.19
2012-09-01,43236.53,30701.15,17404.52,170.76,1135.24,19048.72,4590.57,10782.28
2012-10-01,43438.55,30614.55,17703.72,168.48,1140.2,19017.01,4552.98,10732.98
2012-11-01,44381.65,30711.37,17834.6,170.81,1141.7,19011.55,4531.66,10600.29
2012-12-01,44468.93,30463.2,17823.48,173.5,1145.35,18824.9,4589.08,10574.5
2013-01-01,44597.71,30619.01,17879.47,172.58,1169.38,18736.24,4594.74,10537.54
2013-02-01,44560.49,31078.83,17654.38,172.0,1168.81,18559.28,4522.83,10631.1
2013-03-01,43601.1,31046.2,18143.53,172.43,1170.82,18524.69,4568.79,10788.33
2013-04-01,43587.84,31166.71,18169.37,172.93,1181.33,18867.03,4535.38,10955.82
2013-05-01,43617.96,31373.76,18191.25,173.92,1192.38,18592.65,4629.05,10888.36
2013-06-01,44849.58,31253.39,18336.4,176.93,1204.25,18269.94,4683.05,10863.25
2013-07-01,44753.4,31320.62,18432.61,176.67,1210.64,18564.18,4660.69,10661.24
2013-08-01,44904.17,31324.39,18477.38,175.47,1199.21,18522.31,4724.74,10564.53
2013-09-01,44886.82,31353.7,18319.29,173.4,1215.54,18388.5,4728.13,10680.32
2013-10-01,44302.48,31121.79,18413.58,172.3,1204.08,18596.48,4770.77,10874.19
2013-11-01,44873.89,31129.15,18789.99,172.25,1207.11,18475.35,4795.01,10726.06
2013-12-01,45249.86,31278.55,19059.07,174.95,1199.56,18840.56,4752.69,10654.97
2014-01-01,45645.37,31713.89,19377.71,174.17,1198.92,18976.14,4720.51,10651.8
2014-02-01,45190.68,32001.67,19275.46,174.51,1202.21,18878.56,4772.01,10685.42
2014-03-01,45892.08,32647.63,19077.54,174.48,1205.42,19310.02,4755.27,10588.27
2014-04-01,45191.15,32417.42,19052.39,176.26,1209.64,19188.88,4735.09,10639.15
2014-05-01,45484.58,32679.12,19063.53,180.05,1225.78,19337.3,4687.33,10582.29
2014-06-01,46579.81,32734.12,19282.37,179.26,1230.31,19397.16,4708.51,10580.56
2014-07-01,46084.54,33391.06,18943.88,178.52,1227.87,19657.5,4811.64,10646.11
2014-08-01,45801.39,33148.57,19249.79,180.09,1237.51,19969.81,4758.26,10646.88
2014-09-01,45851.22,32896.66,19218.18,181.11,1249.41,19976.21,4759.47,10594.52
2014-10-01,45599.48,32716.84,19132.81,183.88,1237.13,19825.52,4830.08,10581.36
2014-11-01,44824.15,32079.67,18930.39,184.76,1243.11,19917.52,4826.1,10570.76
2014-12-01,44858.43,31921.94,18599.42,184.22,1250.12,19781.97,4848.72,10526.36
2015-01-01,44327.28,31694.2,18764.05,185.11,1247.14,20184.65,4795.6,10495.3
2015-02-01,44564.07,31739.32,18778.71,186.77,1260.9,20211.96,4817.01,10687.14
2015-03-01,44104.36,31841.85,18520.72,188.0,1259.4,20138.89,4807.66,10754.45
2015-04-01,44879.33,32404.7,18261.71,188.76,1260.65,20175.83,4856.94,10718.99
2015-05-01,44487.7,32689.83,18194.55,190.36,1258.92,19906.41,4916.31,10802.63
2015-06-01,44326.67,32516.76,18528.35,192.11,1259.08,19712.08,5045.79,10762.57
2015-07-01,44733.43,32247.23,18476.43,194.19,1248.12,19952.17,5074.77,10903.34
2015-08-01,44118.0,32394.81,18175.81,195.16,1233.72,19820.79,5091.06,10947.7
2015-09-01,44231.73,31998.74,18126.66,194.91,1249.66,19611.4,5100.78,10934.83
2015-10-01,44885.3,32548.17,18072.11,195.13,1241.19,19718.73,5083.12,10988.55
2015-11-01,44081.56,32902.01,17532.74,196.94,1231.28,19955.88,5100.05,10800.05
2015-12-01,44173.87,32761.25,17521.88,195.71,1209.74,20099.67,5085.28,10664.83
2016-01-01,44303.81,32247.31,17475.69,196.27,1203.35,20298.88,5093.7,10521.56
2016-02-01,44694.73,32653.47,17614.93,195.68,1190.12,20147.52,5159.58,10538.72
2016-03-01,44076.25,32619.11,17984.72,195.72,1206.54,19863.15,5109.25,10746.62
2016-04-01,43416.02,32990.46,18210.04,197.64,1216.64,20163.42,5166.25,11014.37
2016-05-01,43676.99,32512.13,18156.26,197.92,1209.76,20098.89,5232.1,11090.94
2016-06-01,43825.48,32332.32,17934.95,197.99,1232.28,20048.72,5226.2,11151.04
2016-07-01,43950.73,32333.89,18449.62,195.95,1242.1,20314.36,5120.11,10934.91
2016-08-01,44123.96,32347.98,18461.47,197.07,1238.85,20425.6,5089.72,10869.79
2016-09-01,43783.94,32212.96,18464.25,198.04,1213.86,20516.78,5154.57,10775.26
2016-10-01,43900.07,32399.82,18459.43,201.29,1236.77,20949.78,5153.42,10700.76
2016-11-01,44046.61,32079.53,18499.05,200.83,1222.87,20821.08,5103.46,10680.58
2016-12-01,43689.43,32036.82,18470.17,201.15,1206.42,21006.65,5078.22,10623.93
2017-01-01,44622.32,32072.91,18355.44,201.53,1216.65,21018.05,5120.25,10386.41
2017-02-01,44859.23,32227.24,18246.07,203.89,1241.04,21071.77,5147.59,10476.16
2017-03-01,44263.58,32440.72,18239.52,203.75,1254.89,21377.46,5135.64,10347.43
2017-04-01,44591.86,32103.33,18130.83,204.17,1260.52,21479.03,5117.3,10376.14
2017-05-01,44104.52,31643.1,17988.26,205.08,1266.47,21586.69,5097.71,10625.03
2017-06-01,44498.06,32026.4,18009.55,205.36,1275.01,21801.19,5051.59,10514.71
2017-07-01,45077.36,32126.09,17958.56,204.69,1282.6,21728.2,5132.36,10211.07
2017-08-01,44667.02,31901.55,18259.35,204.98,1285.41,21560.36,5116.24,10176.75
2017-09-01,45148.71,32366.89,17729.16,206.59,1286.45,21351.39,5177.1,10308.87
2017-10-01,45355.1,32401.6,17947.46,205.05,1285.82,20958.12,5253.17,10543.87
2017-11-01,45766.13,32755.39,18196.68,205.25,1278.28,21369.36,5303.08,10396.32
2017-12-01,46714.52,32775.64,17782.0,204.2,1275.48,21148.72,5281.5,10455.93
2018-01-01,46591.83,33393.87,17713.46,206.0,1258.55,21104.47,5301.69,10400.09
2018-02-01,46214.96,33920.47,17639.17,203.71,1257.56,21049.11,5300.48,10387.38
2018-03-01,45770.2,33845.78,17357.67,202.87,1247.68,21110.59,5255.29,10704.7
2018-04-01,45362.3,34137.25,17202.11,203.44,1236.64,21273.74,5271.51,10524.34
2018-05-01,45323.75,34330.86,16979.99,205.79,1238.44,21445.83,5212.56,10554.79
2018-06-01,45494.32,34741.45,17330.45,205.69,1252.36,21329.22,5271.94,10610.91
2018-07-01,45632.67,34451.98,17517.58,204.86,1261.54,21295.79,5248.71,10741.21
2018-08-01,46046.26,34657.79,17771.89,207.68,1245.84,21352.31,5258.77,10752.97
2018-09-01,46052.76,34975.32,17916.23,205.5,1235.94,21302.57,5272.93,10789.93
2018-10-01,46779.53,34447.7,17690.42,202.21,1245.35,21624.04,5259.99,10742.93
2018-11-01,46647.2,34092.72,17585.51,202.87,1235.53,21722.24,5289.32,10775.23
2018-12-01,48007.28,33480.95,17683.39,202.11,1233.28,21869.21,5265.58,10734.05
2019-01-01,48320.12,33400.13,17438.96,200.58,1238.78,22001.79,5309.14,10808.63
2019-02-01,47891.54,33615.39,17581.56,201.64,1229.1,22236.48,5241.84,10764.28
2019-03-01,47356.09,34066.1,17533.5,202.01,1230.15,22272.69,5248.16,10809.53
2019-04-01,47597.33,34088.33,17458.53,201.16,1216.81,22013.32,5345.11,10806.02
2019-05-01,47485.6,34576.91,17600.73,199.24,1210.8,22093.26,5295.09,10941.15
2019-06-01,47842.6,34162.88,17689.58,200.55,1213.99,21962.99,5261.21,10934.98
2019-07-01,48079.22,33651.86,17617.39,201.53,1198.06,21857.26,5286.9,10722.22
2019-08-01,48042.8,33635.2,17849.25,201.38,1202.47,21974.54,5295.88,10873.65
2019-09-01,47619.41,33750.42,17633.04,204.15,1202.27,22222.19,5313.41,10764.96
2019-10-01,46861.98,33740.61,17756.23,202.54,1207.8,22226.45,5337.87,10686.51
2019-11-01,46638.72,33120.38,17874.85,200.26,1210.04,22288.21,5369.61,10615.03
2019-12-01,47066.92,33093.64,17812.94,199.22,1223.68,22628.66,5425.09,10779.96
2020-01-01,47173.97,32702.3,17878.16,199.15,1224.93,22676.81,5445.58,10523.68
2020-02-01,46551.1,32903.2,17627.94,199.51,1220.64,23197.14,5433.52,10900.21
2020-03-01,46637.69,33013.18,17812.75,199.15,1221.86,23310.24,5467.15,11026.94
2020-04-01,46830.35,32731.22,17775.77,199.68,1227.29,22958.09,5562.14,11053.72
2020-05-01,46388.42,32577.06,17671.22,197.8,1227.78,23108.76,5555.51,11047.14
2020-06-01,46465.28,32259.3,17881.02,199.97,1228.19,23184.99,5506.78,11081.4
2020-07-01,46494.39,32240.49,17740.15,199.85,1221.17,23442.94,5562.14,11143.94
2020-08-01,45922.9,32527.03,17458.46,201.52,1214.54,23577.58,5556.12,11221.36
2020-09-01,46101.8,32231.32,17147.14,202.04,1200.51,23549.89,5447.49,11288.04
2020-10-01,46382.19,32382.53,17268.34,202.72,1218.01,23305.03,5489.86,11298.79
2020-11-01,46923.72,32223.45,17012.25,203.58,1205.57,23263.22,5463.09,11275.11
2020-12-01,47450.62,31985.59,17363.21,204.25,1198.64,23093.12,5458.56,11256.95
2021-01-01,46761.78,31953.48,16946.83,205.21,1191.46,22977.01,5475.16,11233.56
2021-02-01,46292.87,31642.91,17286.12,207.2,1200.41,23094.73,5484.69,11369.62
2021-03-01,46550.39,31476.81,17328.32,207.5,1197.46,23428.71,5520.16,11440.84
2021-04-01,46807.28,31117.45,17308.98,208.56,1209.93,23507.65,5498.39,11088.0
2021-05-01,47064.8,31706.87,17199.99,208.43,1203.2,23268.47,5524.04,11166.7
2021-06-01,48991.17,31717.45,17279.82,210.59,1205.99,23357.39,5511.06,11190.07
2021-07-01,49276.61,31507.53,17272.29,209.57,1197.63,23596.72,5548.0,11187.83
2021-08-01,49844.4,31571.72,17492.95,212.28,1219.09,23474.76,5578.77,11141.21
2021-09-01,50321.4,31538.03,17515.8,212.21,1207.21,23447.96,5532.0,11276.1
2021-10-01,50647.09,31471.73,17545.86,210.07,1210.31,23450.89,5586.3,11389.8
2021-11-01,50489.46,31655.98,17473.14,210.26,1216.65,23293.91,5559.5,11297.06
2021-12-01,50868.94,31883.24,17461.75,209.24,1220.78,23423.57,5599.91,11345.9
2022-01-01,50482.53,31724.09,17523.31,210.5,1218.93,23399.38,5618.27,11229.3
2022-02-01,50364.12,31551.34,17181.28,209.52,1217.63,23483.29,5710.18,11063.75
2022-03-01,50121.44,31468.83,16911.64,208.85,1218.07,23305.79,5699.01,10988.54
2022-04-01,50162.38,30778.25,17060.29,206.02,1216.6,23218.3,5681.54,11092.03
2022-05-01,51319.71,30323.69,17094.46,205.34,1226.24,23362.77,5680.57,11206.41
2022-06-01,50386.07,30733.75,17057.67,201.7,1248.35,23288.21,5665.41,11267.98
2022-07-01,50729.2,31227.24,17061.35,199.33,1242.77,23633.6,5705.41,11354.99
2022-08-01,49922.85,31152.53,17130.87,200.47,1229.07,23553.67,5624.59,11416.93
2022-09-01,49686.88,31325.5,17022.92,201.65,1228.19,23598.61,5571.91,11339.95
2022-10-01,50231.36,31418.88,16867.26,202.29,1253.99,23785.13,5518.52,11391.78
2022-11-01,50263.5,32342.54,16906.43,200.83,1245.95,23501.45,5566.03,11487.83
2022-12-01,49724.62,32678.41,16710.75,200.76,1262.34,23149.29,5651.56,11578.35
2023-01-01,49366.97,32640.04,16792.4,200.76,1279.12,22844.16,5646.34,11721.02
2023-02-01,49706.77,32353.38,16451.89,199.02,1273.58,23096.68,5637.9,11806.01
2023-03-01,49341.59,31871.44,16657.72,201.28,1279.27,22986.31,5641.4,11848.19
2023-04-01,49449.82,31932.48,16752.24,202.59,1295.56,23497.95,5699.5,11976.6
2023-05-01,49472.6,31705.58,16803.44,202.26,1291.76,23385.1,5653.13,11973.42
2023-06-01,49146.8,31278.9,16999.98,202.3,1289.73,23422.01,5665.05,11867.6
2023-07-01,50218.77,31084.93,17333.08,202.61,1283.91,23730.43,5713.81,11848.03
2023-08-01,50535.73,30760.46,17535.95,199.55,1273.76,24131.65,5738.86,11758.64
2023-09-01,49523.16,31266.61,17167.78,199.18,1267.27,24543.95,5748.34,11677.62
2023-10-01,49616.39,31531.1,16911.86,198.16,1255.03,24785.62,5798.39,11660.28
2023-11-01,49285.5,31528.71,16786.9,196.65,1255.37,24990.43,5663.23,11565.19
2023-12-01,49711.71,31972.69,16792.11,196.23,1247.67,25108.94,5697.12,11528.23
2024-01-01,49315.45,31995.9,16895.65,198.93,1250.01,25264.61,5664.42,11301.0
2024-02-01,49258.08,31737.51,16750.5,199.89,1234.45,25154.37,5572.89,11326.59
2024-03-01,49510.58,32194.45,16787.85,199.03,1237.76,24990.73,5598.45,11326.74
2024-04-01,49943.46,32356.12,16636.77,199.89,1246.1,24990.06,5667.13,11228.69
2024-05-01,49343.31,32044.95,16514.47,201.99,1226.16,24956.02,5660.26,11307.8
2024-06-01,49176.06,31987.85,16233.14,203.38,1229.9,24865.38,5707.9,11420.31
2024-07-01,48938.58,31725.16,16048.49,203.47,1242.18,25004.65,5788.52,11227.4
2024-08-01,48611.92,31310.32,15778.15,202.5,1230.08,25195.72,5854.26,11135.87
2024-09-01,49494.65,31588.18,15582.98,203.54,1246.81,25213.4,5936.26,11043.57
2024-10-01,49697.14,32161.0,15793.71,204.13,1251.0,25508.9,5973.37,10930.79
2024-11-01,49066.7,31741.43,15603.83,205.48,1243.95,25280.57,5977.14,11030.32
2024-12-01,49525.63,31910.32,16130.31,206.43,1243.39,25241.83,5897.04,11007.06
