Date,Ad Spend ($),Website Traffic,Conversion Rate (%),Product Returns,Net Promoter Score,Avg Session Duration (min),Support Tickets,Monthly Active Users
2023-02-28,163113.86,93286,2.63,460,-20,5.9,523,74936
2023-03-31,179481.13,118450,2.24,476,17,2.7,580,59794
2023-04-30,150263.71,71352,2.65,584,97,3.8,301,91588
2023-05-31,157690.39,105069,1.92,362,99,2.0,693,80331
2023-06-30,149251.77,64397,4.62,961,-76,4.4,218,58141
2023-07-31,119524.3,91555,3.58,965,-12,4.4,653,39074
2023-08-31,172245.21,96959,3.88,455,-89,3.0,681,36406
2023-09-30,128077.24,50728,4.26,768,42,4.2,793,53291
2023-10-31,102431.6,100517,3.24,348,-42,2.9,596,71568
2023-11-30,164547.23,116234,1.8,383,53,2.6,478,76851
2023-12-31,117711.07,89954,3.38,660,8,4.6,564,84823
2024-01-31,194045.86,97280,3.55,988,-75,3.3,530,53312
2024-02-29,195392.86,129459,4.11,447,-54,4.4,543,73108
2024-03-31,191486.44,66779,3.01,929,-69,3.7,654,96918
2024-04-30,137015.87,113932,1.95,641,-91,5.9,264,64171
2024-05-31,101545.66,122936,2.49,775,-85,2.6,275,71779
2024-06-30,192831.86,74466,2.77,362,98,3.9,342,98828
2024-07-31,142818.41,86939,3.76,659,44,4.7,672,42411
2024-08-31,196665.48,119896,3.5,860,50,3.6,616,87009
2024-09-30,196362.0,85270,2.75,626,-75,5.9,504,45422
2024-10-31,185300.95,109163,4.95,440,-15,4.9,696,72468
2024-11-30,129444.89,132637,3.62,514,34,4.6,490,62371
2024-12-31,138509.77,101934,2.33,734,-87,5.0,301,87022
